Committee_Code,Parent_Committee_Name,Subcommittee_Name,Mapped_Sectors,Mapped_Industries,Is_General_Jurisdiction,Exclude_From_Analysis
HSIF,House Committee on Energy and Commerce,,Communication Services; Consumer Cyclical; Energy; Technology; Utilities,"Oil & Gas Integrated; Oil & Gas E&P; Oil & Gas Midstream; Utilities - Regulated Electric; Utilities - Regulated Gas; Drug Manufacturers - General; Drug Manufacturers - Specialty & Generic; Biotechnology; Healthcare Plans; Medical Devices; Diagnostics & Research; Telecom Services; Communication Equipment; Internet Content & Information; Packaging & Containers; Oil & Gas Drilling; Oil & Gas Refining & Marketing; Utilities - Diversified; Chemicals; Electrical Equipment & Parts; Entertainment; Electronic Gaming & Multimedia; Publishing; Discount Stores; Department Stores; Home Improvement Retail; Apparel Retail; Furnishings, Fixtures & Appliances; Apparel Manufacturing; Textile Manufacturing; Recreational Vehicles; Auto & Truck Dealerships; Auto Parts; Medical Distribution",False,False
HSIF-17,House Committee on Energy and Commerce,"Commerce, Manufacturing, and Trade Subcommittee",Communication Services; Consumer Cyclical; Energy; Technology; Utilities,Consumer Electronics; Specialty Industrial Machinery; Auto Manufacturers; Specialty Retail; Specialty Business Services,False,False
HSIF-16,House Committee on Energy and Commerce,Communications and Technology Subcommittee,Communication Services; Consumer Cyclical; Energy; Technology; Utilities,Telecom Services; Communication Equipment; Internet Content & Information; Software - Application; Advertising Agencies; Broadcasting,False,False
HSIF-03,House Committee on Energy and Commerce,Energy and Power Subcommittee,Communication Services; Consumer Cyclical; Energy; Technology; Utilities,Oil & Gas Integrated; Oil & Gas E&P; Oil & Gas Midstream; Utilities - Regulated Electric; Utilities - Regulated Gas; Solar; Utilities - Renewable; Oil & Gas Equipment & Services,False,False
HSIF-18,House Committee on Energy and Commerce,Environment and the Economy Subcommittee,Communication Services; Consumer Cyclical; Energy; Industrials; Technology; Utilities,Oil & Gas Integrated; Oil & Gas E&P; Oil & Gas Midstream; Utilities - Regulated Electric; Utilities - Regulated Gas; Drug Manufacturers - General; Drug Manufacturers - Specialty & Generic; Biotechnology; Healthcare Plans; Medical Devices; Diagnostics & Research; Telecom Services; Communication Equipment; Internet Content & Information,False,False
HSIF-14,House Committee on Energy and Commerce,Health Subcommittee,Communication Services; Consumer Cyclical; Energy; Healthcare; Real Estate; Technology; Utilities,Drug Manufacturers - General; Drug Manufacturers - Specialty & Generic; Biotechnology; Healthcare Plans; Medical Devices; Diagnostics & Research; Medical Care Facilities; Health Information Services; REIT - Healthcare Facilities,False,False
HSIF-02,House Committee on Energy and Commerce,Oversight and Investigations Subcommittee,Communication Services; Consumer Cyclical; Energy; Technology; Utilities,Drug Manufacturers - General; Oil & Gas Integrated; Biotechnology; Telecom Services; Utilities - Regulated Electric,False,False
HLET,House Committee on Ethics,,Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
HSSO,House Committee on Ethics,,Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
HSBA,House Committee on Financial Services,,Financial Services,Banks - Diversified; Banks - Regional; Capital Markets; Asset Management; Credit Services; Insurance - Property & Casualty; Insurance - Life; Insurance - Diversified; Insurance Brokers; Insurance - Specialty; Insurance - Reinsurance; Financial Data & Stock Exchanges; Financial Conglomerates; REIT - Mortgage; REIT - Diversified; REIT - Industrial; REIT - Retail; REIT - Specialty; Real Estate - Diversified; Residential Construction; Conglomerates; Broad Market / ETF,False,False
HSBA-20,House Committee on Financial Services,International Monetary Policy and Trade Subcommittee,Financial Services,Banks - Diversified; Banks - Regional; Financial Data & Stock Exchanges,False,False
HSBA-09,House Committee on Financial Services,Oversight and Investigations Subcommittee,Financial Services,Drug Manufacturers - General; Oil & Gas Integrated; Biotechnology; Telecom Services; Utilities - Regulated Electric,False,False
HSBA-04,House Committee on Financial Services,"Insurance, Housing and Community Opportunity Subcommittee",Financial Services; Real Estate,Insurance - Property & Casualty; Insurance - Life; Insurance - Diversified; Insurance Brokers; Insurance - Specialty; Insurance - Reinsurance; REIT - Residential; Real Estate Services; Real Estate - Development,False,False
HSBA-15,House Committee on Financial Services,Financial Institutions and Consumer Credit Subcommittee,Financial Services,Farm Products; Agricultural Inputs; Capital Markets,False,False
HSBA-19,House Committee on Financial Services,Domestic Monetary Policy and Technology Subcommittee,Financial Services; Technology,Banks - Diversified; Banks - Regional; Financial Data & Stock Exchanges,False,False
HSBA-16,House Committee on Financial Services,Capital Markets and Government Sponsored Enterprises Subcommittee,Financial Services,Capital Markets; Financial Data & Stock Exchanges; Asset Management; Credit Services,False,False
HSFA,House Committee on Foreign Affairs,,Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
HSFA-14,House Committee on Foreign Affairs,Europe and Eurasia Subcommittee,Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
HSFA-13,House Committee on Foreign Affairs,The Middle East and South Asia Subcommittee,Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
HSFA-16,House Committee on Foreign Affairs,"Africa, Global Health, and Human Rights Subcommittee",Healthcare; Real Estate,Broad/General Jurisdiction,False,False
HSFA-17,House Committee on Foreign Affairs,Oversight and Investigations Subcommittee,Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
HSFA-05,House Committee on Foreign Affairs,Asia and the Pacific Subcommittee,Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
HSFA-18,House Committee on Foreign Affairs,"Terrorism, Nonproliferation, and Trade Subcommittee",Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
HSFA-07,House Committee on Foreign Affairs,The Western Hemisphere Subcommittee,Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
HSHM,House Committee on Homeland Security,,,Broad/General Jurisdiction,False,False
HSHM-09,House Committee on Homeland Security,"Oversight, Investigations, and Management Subcommittee",Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
HSHM-12,House Committee on Homeland Security,"Emergency Preparedness, Response and Communications Subcommittee",,Broad/General Jurisdiction,False,False
HSHM-11,House Committee on Homeland Security,Border and Maritime Security Subcommittee,,Broad/General Jurisdiction,False,False
HSHM-05,House Committee on Homeland Security,Counterterrorism and Intelligence Subcommittee,Industrials; Technology,Broad/General Jurisdiction,False,False
HSHM-08,House Committee on Homeland Security,"Cybersecurity, Infrastructure Protection, and Security Technologies Subcommittee",Basic Materials; Healthcare; Industrials; Technology,Broad/General Jurisdiction,False,False
HSHM-07,House Committee on Homeland Security,Transportation Security Subcommittee,Industrials,Broad/General Jurisdiction,False,False
HSHA,House Committee on House Administration,,Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
HSHA-01,House Committee on House Administration,Elections Subcommittee,Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
HSHA-08,House Committee on House Administration,Elections Subcommittee,Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
HSHA-06,House Committee on House Administration,Oversight Subcommittee,Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
HSII,House Committee on Natural Resources,,Basic Materials; Energy,Oil & Gas E&P; Oil & Gas Integrated; Uranium; Gold; Copper; Other Precious Metals & Mining; Other Industrial Metals & Mining; Thermal Coal; Lumber & Wood Production; Agricultural Inputs; Oil & Gas Drilling; Oil & Gas Refining & Marketing,False,False
HSII-06,House Committee on Natural Resources,Energy and Mineral Resources Subcommittee,Basic Materials; Energy; Utilities,Gold; Copper; Uranium; Other Precious Metals & Mining; Other Industrial Metals & Mining; Steel; Aluminum; Thermal Coal; Metal Fabrication,False,False
HSII-10,House Committee on Natural Resources,"National Parks, Forests and Public Lands Subcommittee",Basic Materials; Energy,Lumber & Wood Production; Agricultural Inputs; Resorts & Casinos; Leisure,False,False
HSII-22,House Committee on Natural Resources,"Fisheries, Wildlife, Oceans and Insular Affairs Subcommittee",Basic Materials; Energy; Industrials,Utilities - Regulated Water; Waste Management; Engineering & Construction,False,False
HSII-24,House Committee on Natural Resources,Indian and Alaska Native Affairs Subcommittee,Basic Materials; Energy,Resorts & Casinos; Gambling; Lumber & Wood Production; Agricultural Inputs,False,False
HSII-13,House Committee on Natural Resources,Water and Power Subcommittee,Basic Materials; Energy; Utilities,Utilities - Regulated Water; Marine Shipping; Engineering & Construction,False,False
HSGO,House Committee on Oversight and Government Reform,,Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
HSGO-25,House Committee on Oversight and Government Reform,"Federal Workforce, U.S. Postal Service and Labor Policy Subcommittee",Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
HSGO-24,House Committee on Oversight and Government Reform,"Government Organization, Efficiency and Financial Management Subcommittee",Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
HSGO-29,House Committee on Oversight and Government Reform,"TARP, Financial Services and Bailouts of Public and Private Programs Subcommittee",Financial Services,Broad/General Jurisdiction,False,False
HSGO-06,House Committee on Oversight and Government Reform,"National Security, Homeland Defense and Foreign Operations Subcommittee",Industrials,Broad/General Jurisdiction,False,False
HSGO-28,House Committee on Oversight and Government Reform,"Regulatory Affairs, Stimulus Oversight and Government Spending Subcommittee",Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
HSGO-27,House Committee on Oversight and Government Reform,"Health Care, District of Columbia, Census and the National Archives Subcommittee",Healthcare; Real Estate,Broad/General Jurisdiction,False,False
HSGO-30,House Committee on Oversight and Government Reform,"Technology, Information Policy, Intergovernmental Relations and Procurement Reform Subcommittee",Technology,Broad/General Jurisdiction,False,False
HSRU,House Committee on Rules,,Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
HSRU-04,House Committee on Rules,Rules and Organization of the House Subcommittee,Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
HSRU-02,House Committee on Rules,Legislative and Budget Process Subcommittee,Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
HSSY,"House Committee on Science, Space, and Technology",,Industrials; Technology,Software - Infrastructure; Software - Application; Semiconductors; Scientific & Technical Instruments; Biotechnology; Diagnostics & Research; Aerospace & Defense; Solar; Utilities - Renewable; Pollution & Treatment Controls; Electrical Equipment & Parts; Computer Hardware; Tools & Accessories,False,False
HSSY-20,"House Committee on Science, Space, and Technology",Energy and Environment Subcommittee,Energy; Industrials; Technology; Utilities,Pollution & Treatment Controls; Waste Management; Specialty Chemicals,False,False
HSSY-21,"House Committee on Science, Space, and Technology",Investigations and Oversight Subcommittee,Industrials; Technology,Software - Infrastructure; Information Technology Services,False,False
HSSY-14,"House Committee on Science, Space, and Technology",Research and Science Education Subcommittee,Industrials; Technology,Software - Infrastructure; Software - Application; Semiconductors; Scientific & Technical Instruments; Biotechnology; Diagnostics & Research; Aerospace & Defense; Solar; Utilities - Renewable; Pollution & Treatment Controls,False,False
HSSY-16,"House Committee on Science, Space, and Technology",Space and Aeronautics Subcommittee,Industrials; Technology,Aerospace & Defense; Scientific & Technical Instruments,False,False
HSSY-19,"House Committee on Science, Space, and Technology",Technology and Innovation Subcommittee,Healthcare; Industrials; Technology,Software - Infrastructure; Software - Application; Semiconductors; Semiconductor Equipment & Materials; Biotechnology; Scientific & Technical Instruments,False,False
HSSM,House Committee on Small Business,,,Broad/General Jurisdiction,False,False
HSSM-25,House Committee on Small Business,"Agriculture, Energy and Trade Subcommittee",Basic Materials; Consumer Defensive; Energy; Utilities,Broad/General Jurisdiction,False,False
HSSM-23,House Committee on Small Business,Contracting and Workforce Subcommittee,,Broad/General Jurisdiction,False,False
HSSM-27,House Committee on Small Business,"Economic Growth, Tax and Capital Access Subcommittee",,Broad/General Jurisdiction,False,False
HSSM-24,House Committee on Small Business,"Investigations, Oversight and Regulations Subcommittee",Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
HSSM-26,House Committee on Small Business,Healthcare and Technology Subcommittee,Healthcare; Real Estate; Technology,Broad/General Jurisdiction,False,False
HSPW,House Committee on Transportation and Infrastructure,,Basic Materials; Industrials,Airlines; Railroads; Trucking; Engineering & Construction; Airports & Air Services; Integrated Freight & Logistics; Marine Shipping; Building Products & Equipment; Building Materials; Farm & Heavy Construction Machinery; Residential Construction; Recreational Vehicles; Auto & Truck Dealerships; Auto Parts,False,False
HSPW-07,House Committee on Transportation and Infrastructure,Coast Guard and Maritime Transportation Subcommittee,Basic Materials; Industrials,Marine Shipping; Integrated Freight & Logistics,False,False
HSPW-14,House Committee on Transportation and Infrastructure,"Railroads, Pipelines, and Hazardous Materials Subcommittee",Basic Materials; Industrials,Railroads; Oil & Gas Midstream,False,False
HSPW-02,House Committee on Transportation and Infrastructure,Water Resources and Environment Subcommittee,Basic Materials; Industrials; Utilities,Utilities - Regulated Water; Marine Shipping; Engineering & Construction,False,False
HSPW-13,House Committee on Transportation and Infrastructure,"Economic Development, Public Buildings, and Emergency Management Subcommittee",Basic Materials; Industrials,Engineering & Construction; Building Materials; Real Estate - Development; REIT - Office,False,False
HSPW-12,House Committee on Transportation and Infrastructure,Highways and Transit Subcommittee,Basic Materials; Industrials,Trucking; Engineering & Construction; Building Products & Equipment; Building Materials,False,False
HSPW-05,House Committee on Transportation and Infrastructure,Aviation Subcommittee,Basic Materials; Industrials,Airlines; Airports & Air Services; Aerospace & Defense,False,False
HSVR,House Committee on Veterans' Affairs,,Healthcare,Healthcare Plans; Medical Care Facilities; Health Information Services; Drug Manufacturers - General; Medical Devices; REIT - Healthcare Facilities; Medical Instruments & Supplies,False,False
HSVR-10,House Committee on Veterans' Affairs,Economic Opportunity Subcommittee,Healthcare,Education & Training Services; Staffing & Employment Services; Real Estate Services,False,False
HSVR-03,House Committee on Veterans' Affairs,Health Subcommittee,Healthcare; Real Estate,Drug Manufacturers - General; Drug Manufacturers - Specialty & Generic; Biotechnology; Healthcare Plans; Medical Devices; Diagnostics & Research; Medical Care Facilities; Health Information Services; REIT - Healthcare Facilities,False,False
HSVR-09,House Committee on Veterans' Affairs,Disability Assistance and Memorial Affairs Subcommittee,Healthcare,Healthcare Plans; Medical Care Facilities; Drug Manufacturers - General; Medical Devices,False,False
HSVR-08,House Committee on Veterans' Affairs,Oversight and Investigations Subcommittee,Healthcare,Drug Manufacturers - General; Oil & Gas Integrated; Biotechnology; Telecom Services; Utilities - Regulated Electric,False,False
HSWM,House Committee on Ways and Means,,Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
HSWM-06,House Committee on Ways and Means,Oversight Subcommittee,Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
HSWM-01,House Committee on Ways and Means,Social Security Subcommittee,Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
HSWM-02,House Committee on Ways and Means,Health Subcommittee,Healthcare; Real Estate,Broad/General Jurisdiction,False,False
HSWM-04,House Committee on Ways and Means,Trade Subcommittee,Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
HSWM-03,House Committee on Ways and Means,Human Resources Subcommittee,Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
HSWM-05,House Committee on Ways and Means,Select Revenue Measures Subcommittee,Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
HSBU,House Committee on the Budget,,Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
HSJU,House Committee on the Judiciary,,Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
HSJU-08,House Committee on the Judiciary,"Crime, Terrorism, and Homeland Security Subcommittee",Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
HSJU-12,House Committee on the Judiciary,"Intellectual Property, Competition, and the Internet Subcommittee",Healthcare; Technology,Broad/General Jurisdiction,False,False
HSJU-10,House Committee on the Judiciary,The Constitution Subcommittee,Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
HSJU-03,House Committee on the Judiciary,"Courts, Commercial and Administrative Law Subcommittee",Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
HSJU-01,House Committee on the Judiciary,Immigration Policy and Enforcement Subcommittee,Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
HLIG,House Permanent Select Committee on Intelligence,,Industrials; Technology,Exclude,False,True
HLIG-05,House Permanent Select Committee on Intelligence,Technical and Tactical Intelligence Subcommittee,Industrials; Technology,Exclude,False,True
HLIG-09,House Permanent Select Committee on Intelligence,Oversight and Investigations Subcommittee,Industrials; Technology,Exclude,False,True
HLIG-08,House Permanent Select Committee on Intelligence,"Terrorism, Human Intelligence, Analysis, and Counterintelligence Subcommittee",Industrials; Technology,Exclude,False,True
JSPR,Joint Committee on Printing,,,Exclude,False,True
JSTX,Joint Committee on Taxation,,,Exclude,False,True
JSLC,Joint Committee on the Library,,,Exclude,False,True
JSEC,Joint Economic Committee,,,Exclude,False,True
JSDF,Joint Select Committee on Deficit Reduction,,,Exclude,False,True
JCSE,Senate Commission on Security and Cooperation in Europe,,,Exclude,False,True
SSAF,"Senate Committee on Agriculture, Nutrition, and Forestry",,Basic Materials; Consumer Defensive,Farm Products; Agricultural Inputs; Packaged Foods; Food Distribution; Grocery Stores; Specialty Chemicals; Beverages - Brewers; Beverages - Non-Alcoholic; Beverages - Wineries & Distilleries; Confectioners; Restaurants; Tobacco; Farm & Heavy Construction Machinery; Packaging & Containers; Chemicals,False,False
SSAF-13,"Senate Committee on Agriculture, Nutrition, and Forestry","Commodities, Markets, Trade and Risk Management",Basic Materials; Consumer Defensive,Farm Products; Agricultural Inputs,False,False
SSAF-14,"Senate Committee on Agriculture, Nutrition, and Forestry","Conservation, Forestry and Natural Resources",Basic Materials; Consumer Defensive; Energy,Agricultural Inputs; Lumber & Wood Production; Farm Products; Solar; Utilities - Renewable,False,False
SSAF-17,"Senate Committee on Agriculture, Nutrition, and Forestry","Livestock, Dairy, Poultry, Marketing and Agriculture Security",Basic Materials; Consumer Defensive,Farm Products; Packaged Foods,False,False
SSAF-15,"Senate Committee on Agriculture, Nutrition, and Forestry","Jobs, Rural Economic Growth and Energy Innovation",Basic Materials; Consumer Defensive; Energy; Healthcare; Technology; Utilities,Farm Products; Agricultural Inputs; Packaged Foods; Food Distribution; Grocery Stores; Specialty Chemicals,False,False
SSAF-16,"Senate Committee on Agriculture, Nutrition, and Forestry","Nutrition, Specialty Crops, Food and Agricultural Research",Basic Materials; Consumer Defensive,Farm Products; Grocery Stores; Packaged Foods; Household & Personal Products,False,False
SSAP,Senate Committee on Appropriations,,Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
SSAP-16,Senate Committee on Appropriations,"Commerce, Justice, Science, and Related Agencies",Communication Services; Consumer Cyclical; Technology,Broad/General Jurisdiction,False,False
SSAP-2,Senate Committee on Appropriations,Department of Defense,Industrials,Broad/General Jurisdiction,False,False
SSAP-17,Senate Committee on Appropriations,"Department of the Interior, Environment, and Related Agencies",Industrials; Utilities,Broad/General Jurisdiction,False,False
SSAP-18,Senate Committee on Appropriations,"Departments of Labor, Health and Human Services, and Education, and Related Agencies",Healthcare; Real Estate,Broad/General Jurisdiction,False,False
SSAP-22,Senate Committee on Appropriations,Energy and Water Development,Energy; Utilities,Broad/General Jurisdiction,False,False
SSAP-24,Senate Committee on Appropriations,"Transportation and Housing and Urban Development, and Related Agencies",Industrials; Real Estate,Broad/General Jurisdiction,False,False
SSAP-1,Senate Committee on Appropriations,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Basic Materials; Consumer Defensive; Healthcare; Real Estate,Broad/General Jurisdiction,False,False
SSAP-19,Senate Committee on Appropriations,"Military Construction and Veterans Affairs, and Related Agencies",Healthcare,Broad/General Jurisdiction,False,False
SSAP-20,Senate Committee on Appropriations,"State, Foreign Operations, and Related Programs",Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
SSAP-8,Senate Committee on Appropriations,Legislative Branch,Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
SSAP-14,Senate Committee on Appropriations,Department of Homeland Security,Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
SSAP-23,Senate Committee on Appropriations,Financial Service and General Government,Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
SSAS,Senate Committee on Armed Services,,Industrials,Aerospace & Defense; Computer Hardware,False,False
SSAS-17,Senate Committee on Armed Services,Personnel,Industrials,Aerospace & Defense; Healthcare Plans; Medical Care Facilities; Drug Manufacturers - General,False,False
SSAS-15,Senate Committee on Armed Services,Readiness and Management Support,Industrials,Aerospace & Defense; Rental & Leasing Services; Integrated Freight & Logistics,False,False
SSAS-13,Senate Committee on Armed Services,SeaPower,Industrials,Aerospace & Defense; Marine Shipping,False,False
SSAS-16,Senate Committee on Armed Services,Strategic Forces,Industrials,Aerospace & Defense; Uranium,False,False
SSAS-14,Senate Committee on Armed Services,Airland,Industrials,Aerospace & Defense,False,False
SSAS-20,Senate Committee on Armed Services,Emerging Threats and Capabilities,Industrials,Aerospace & Defense; Software - Infrastructure; Electronic Components; Scientific & Technical Instruments; Information Technology Services,False,False
SSBK,"Senate Committee on Banking, Housing, and Urban Affairs",,Financial Services; Real Estate,Banks - Diversified; Banks - Regional; Capital Markets; Asset Management; Credit Services; Insurance - Property & Casualty; Insurance - Life; Insurance - Diversified; Insurance Brokers; REIT - Residential; REIT - Mortgage; Real Estate Services; Real Estate - Development; Financial Conglomerates; REIT - Diversified; REIT - Industrial; REIT - Retail; REIT - Specialty; Real Estate - Diversified; Residential Construction; Conglomerates; Broad Market / ETF,False,False
SSBK-8,"Senate Committee on Banking, Housing, and Urban Affairs",Financial Institutions and Consumer Protection,Financial Services; Real Estate,Specialty Retail; Internet Retail; Credit Services,False,False
SSBK-9,"Senate Committee on Banking, Housing, and Urban Affairs","Housing, Transportation and Community Development",Financial Services; Industrials; Real Estate,Banks - Diversified; Banks - Regional; Capital Markets; Asset Management; Credit Services; Insurance - Property & Casualty; Insurance - Life; Insurance - Diversified; Insurance Brokers; REIT - Residential; REIT - Mortgage; Real Estate Services; Real Estate - Development; Financial Conglomerates,False,False
SSBK-5,"Senate Committee on Banking, Housing, and Urban Affairs",Security and International Trade and Finance,Financial Services; Real Estate,Banks - Diversified; Financial Conglomerates; Capital Markets,False,False
SSBK-4,"Senate Committee on Banking, Housing, and Urban Affairs","Securities, Insurance and Investment",Financial Services; Real Estate,Capital Markets; Financial Data & Stock Exchanges; Asset Management; Credit Services,False,False
SSBK-12,"Senate Committee on Banking, Housing, and Urban Affairs",Economic Policy,Financial Services; Real Estate,Banks - Diversified; Capital Markets; Asset Management; Financial Conglomerates,False,False
